0.25m_0deg,0.5m_0deg,1m_0deg,2m_0deg
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
0.24,0.48,0.98,1.99
