0.25m_0deg,0.5m_0deg,1.0m_0deg,2.0m_0deg,3.0m_0deg
0.238,0.492,0.999,1.977,2.954
0.236,0.491,0.999,1.977,2.957
0.238,0.494,0.999,1.978,2.955
0.236,0.492,1.001,1.979,2.954
0.238,0.494,1.0,1.978,2.954
0.236,0.492,1.0,1.977,2.955
0.238,0.494,1.0,1.978,2.955
0.237,0.492,1.0,1.978,2.955
0.238,0.494,0.999,1.977,2.954
0.238,0.492,0.999,1.977,2.956
0.238,0.494,1.0,1.979,2.955
0.238,0.492,0.999,1.977,2.954
0.238,0.493,0.999,1.977,2.952
0.238,0.492,1.0,1.977,2.954
0.236,0.494,0.999,1.978,2.953
0.238,0.492,1.0,1.977,2.955
0.236,0.494,0.999,1.977,2.956
0.238,0.492,1.0,1.979,2.957
0.236,0.494,1.0,1.979,2.955
0.238,0.492,1.0,1.977,2.953
0.236,0.493,0.999,1.977,2.955
0.238,0.491,0.999,1.977,2.954
0.236,0.493,0.999,1.977,2.953
0.238,0.492,0.999,1.978,2.954
0.236,0.494,0.999,1.978,2.953
0.238,0.492,0.999,1.979,2.956
0.236,0.494,0.999,1.978,2.954
0.238,0.494,1.0,1.977,2.955
0.238,0.492,0.999,1.978,2.954
0.238,0.494,0.999,1.976,2.954
0.238,0.491,0.999,1.977,2.953
0.238,0.494,0.999,1.978,2.953
0.238,0.492,0.999,1.978,2.955
0.238,0.494,0.999,1.977,2.954
0.238,0.492,0.999,1.977,2.954
0.236,0.494,1.0,1.978,2.956
0.238,0.492,0.999,1.978,2.955
0.236,0.493,0.999,1.978,2.953
0.238,0.492,1.0,1.978,2.954
0.236,0.494,1.0,1.978,2.955
0.238,0.492,0.999,1.976,2.953
0.236,0.494,0.999,1.977,2.954
0.238,0.492,0.999,1.98,2.954
